"name","class","spec","realm","region","guild","faction","zone","encounter","duration","percentile","dps","ilvl","encounter_id","character_id","date","zone_id","report_id","report_fight_id","guild_id"
Complexado,Warlock,Affliction,faerlina,us,INSS,horde,Trial of the Crusader,Anub'arak,328.229,11.119913,7169.659,240,645,60285077,2023-09-21 01:34:06.232,1018,wMNADYxb6vr83WTK,16,707072
Iveco,Warrior,Fury,faerlina,us,INSS,horde,Trial of the Crusader,The Northrend Beasts,355.603,23.743582,5872.13,239,629,73397870,2023-08-30 23:28:35.576,1018,HfKDMaphb4cLYNXq,2,707072
Iveco,Warrior,Fury,faerlina,us,INSS,horde,Trial of the Crusader,Lord Jaraxxus,201.16,19.164986,7480.2993,237,633,73397870,2023-08-19 23:51:29.773,1018,xK9vQry8aL6AYHVq,3,707072
Xuruupita,Mage,Fire,faerlina,us,CORE B,horde,Trial of the Crusader,Anub'arak,296.586,26.888054,8462.577,241,645,69279319,2023-09-14 02:16:58.628,1018,"4AbfTV9yqFrjv17R",13,708067
Iveco,Warrior,Fury,faerlina,us,INSS,horde,Trial of the Crusader,Twin Val'kyr,276.289,13.763756,9947.204,237,641,73397870,2023-08-09 01:19:01.965,1018,pynA2fJ9MThR4mQb,7,707072
Malkerin,DeathKnight,Frost,faerlina,us,INSS,horde,Trial of the Crusader,The Northrend Beasts,331.936,71.85057,8410.329,238,629,69362843,2023-07-03 00:00:06.797,1018,"6aXJWwdzTF4Ct9yZ",2,707072
Malkerin,DeathKnight,Unholy,faerlina,us,INSS,horde,Trial of the Crusader,The Northrend Beasts,361.931,49.917614,8156.963,247,629,69362843,2023-09-13 23:58:38.282,1018,Vdk9PZQ3RGFCyAzv,4,707072
Malkerin,DeathKnight,Unholy,faerlina,us,INSS,horde,Trial of the Crusader,Lord Jaraxxus,177.546,47.715904,10709.371,247,633,69362843,2023-09-20 23:30:50.038,1018,wMNADYxb6vr83WTK,3,707072
Malkerin,DeathKnight,Frost,faerlina,us,INSS,horde,Trial of the Crusader,Lord Jaraxxus,179.885,79.35912,10559.735,242,633,69362843,2023-08-02 23:31:32.811,1018,nRp7yQBgVwqWP6Gf,3,707072
Malkerin,DeathKnight,Unholy,faerlina,us,INSS,horde,Trial of the Crusader,Twin Val'kyr,165.261,68.31829,15154.029,247,641,69362843,2023-09-14 00:39:14.046,1018,Vdk9PZQ3RGFCyAzv,9,707072
Patafofa,Druid,Feral,faerlina,us,INSS,horde,Trial of the Crusader,The Northrend Beasts,325.185,43.006344,8380.054,245,629,75663630,2023-10-04 23:25:48.704,1018,n1gR37fcFAD49tLZ,2,707072
